NAME,Ku.FC.nonIR5,Ku.FC.IR5,Ku.FC.IR30,Ku.FC.IR2,Ku.FC.IR8,Ku.FC.IR24,Ku.FC.nonIR24
RPL10A,2.163666667,0,3.192,6.445,7.641,0,2.852666667
CPS1,4.394166667,5.8725,5.5395,6.444833333,8.8545,6.160166667,7.366833333
CDKN2A,1.709333333,0,2.559666667,6.338666667,6.311666667,2.635666667,2.925
SRRM2,0.990333333,0,0,6.325,0,0,0
RPL13,2.776833333,1.7675,0.927833333,6.265833333,5.827166667,0.2155,2.986166667
RBM39,0.666666667,0,2.503666667,6.262,5.953333333,2.937333333,2.475333333
HSD17B10,5.5,5.435666667,3.907666667,6.195,8.177333333,3.7,5.747666667
PA2G4,4.161333333,0,3.246333333,6.098,7.434666667,0,2.356666667
RPA1,0.913666667,0,0,6.02,4.840333333,0,0
RPS14,4.258166667,3.072833333,0.905833333,6.017833333,4.981833333,2.732833333,2.962166667
RACK1,4.831166667,5.4295,6.3125,6.010166667,7.821833333,5.281166667,5.905166667
ACTN4,1.397333333,3.975,2.754333333,5.987666667,7.783333333,3.323,4.612333333
PPIA,4.5035,5.2905,6.043166667,5.965166667,7.365833333,5.654833333,6.080833333
DDX3X,0.6185,0,1.424166667,5.9465,3.950833333,0.6455,0
NUDT21,3.116166667,3.672166667,4.211166667,5.930166667,5.1105,3.7835,4.3215
TUBA1B,1.581833333,2.5915,2.9075,5.898833333,6.546833333,4.819833333,6.018166667
AHNAK,0,0.304833333,0,5.898833333,5.656166667,0,0
NPM1,3.402666667,4.14,4.106,5.873333333,2.034333333,4.697333333,4.836333333
SHMT2,4.541666667,4.881,3.353,5.822,8.390333333,5.402333333,6.661
TRAP1,2.195666667,2.347666667,3.067333333,5.75,8.325666667,3.439333333,6.162333333
HSPA8,2.848166667,3.533166667,4.708833333,5.701833333,3.296166667,1.7655,4.408166667
MISP,0,0,0,5.661,2.600333333,0,0
HNRNPU,4.384833333,4.6655,5.4775,5.6605,5.334166667,4.760166667,4.8515
LMNA,0,2.197,2.176666667,5.653,4.33,2.007666667,4.517666667
RPS24,1.717,2.930666667,3.253333333,5.623666667,7.426333333,5.698666667,3.147333333
HSP90AA1,1.643,1.921333333,2.801333333,5.622666667,2.940333333,0,0
RPL22,0,0.784,0,5.577,5.348333333,3.983666667,0
MCM7,1.395666667,2.609333333,2.660333333,5.557666667,3.171333333,0,0
NAT10,2.148333333,0,3.567666667,5.537,6.685,1.759,0
MCM5,3.840333333,2.403666667,4.86,5.492333333,6.504666667,2.582666667,0
APEX1,1.206666667,5.346333333,2.819333333,5.464333333,7.117,0,0
SNRPD1,5.195333333,2.579666667,3.242666667,5.428,6.809,2.950666667,5.661333333
RPS15A,1.573,0,0,5.359666667,6.899333333,0,0
NSUN2,1.225666667,0,0,5.354666667,4.999333333,0,0
GTPBP4,1.060666667,0,0,5.349,5.526333333,0,0
RTCB,2.985333333,2.606333333,2.616333333,5.343333333,6.116666667,2.333,4.891333333
SNRPA1,3.578,0,2.947,5.341333333,5.094333333,2.362333333,5.340333333
RANBP2,3.334333333,1.975333333,4.652,5.315333333,5.808,2.005666667,2.276666667
RPS3A,0.884166667,1.997833333,2.444166667,5.264833333,6.488166667,1.031833333,1.3735
HNRNPA1,3.591166667,4.585833333,5.053166667,5.253166667,4.408166667,4.988833333,5.003833333
SNRNP200,4.088,0,2.889333333,5.252666667,6.455,2.767,2.684
RPS16,0.925833333,1.6155,1.415166667,5.2295,7.0145,2.039166667,4.0565
G3BP1,4.285333333,2.222333333,3.024666667,5.192666667,7.256,2.633333333,4.406333333
RPS4X,1.995333333,0,2.557666667,5.148666667,7.125,2.390666667,2.404666667
RPL7,2.7165,0.863166667,0,5.1345,5.6445,1.046166667,0
RPL4,1.0615,0,1.221833333,5.1265,5.6005,1.089833333,1.135833333
DDX1,1.054666667,0,2.311666667,5.123,5.021666667,2.168333333,2.016333333
DDX17,1.059666667,2.089333333,2.136,5.07,5.700666667,3.887666667,2.176
TRIM28,3.532,1.946666667,2.537666667,5.066666667,4.491,4.500666667,4.475
NUP155,3.944,2.208666667,3.034666667,5.050666667,7.222333333,3.298,5.523333333
CPSF7,0,0,0,5.031,0,0,0
PABPC4,3.644333333,2.05,2.661,5.009333333,6.408,3.938666667,4.176666667
SET,1.526666667,2.536333333,4.820666667,4.971,2.210333333,2.218333333,2.042
RPS3,0.779166667,3.322833333,2.1445,4.955833333,5.758166667,0,1.5875
FH,1.487666667,1.857,2.77,4.938333333,7.158666667,3.004333333,4.659333333
DDB1,3.297666667,4.137333333,5.242333333,4.905,5.345666667,2.237333333,4.524
SNRPD3,3.515833333,4.272166667,4.162833333,4.8835,6.2755,4.9515,4.9215
PSMA2,1.345333333,0,0,4.857,2.665,0,2.796333333
HNRNPC,3.293666667,3.641,4.302,4.816,4.916666667,2.865333333,3.996666667
BRIX1,2.187333333,0,3.188666667,4.810666667,6.553666667,0,0
NUP133,4.405666667,0,2.757666667,4.768666667,6.312333333,2.934333333,2.712333333
MCM3,0,2.034,0,4.766666667,2.896333333,0,0
KPNB1,1.604666667,0,4.475666667,4.742666667,5.229,0,0
RPS13,0.852833333,2.874833333,1.9555,4.7335,6.1705,3.558166667,3.351833333
CBX5,3.400333333,4.55,2.137666667,4.721,5.474,4.713,0
SNRNP40,1.470666667,0,2.807666667,4.703333333,6.398,4.215,0
DDX54,2.639666667,0,0,4.702666667,4.620666667,1.676333333,2.088333333
SMU1,3.724,2.766666667,2.885666667,4.694666667,6.627333333,4.787333333,4.843666667
MCM2,1.482,0,2.478666667,4.681333333,2.036,0,0
HSP90AB1,3.4655,3.045166667,2.687833333,4.657833333,4.4645,0.429166667,2.139166667
RCC1,4.619333333,4.349666667,3.142333333,4.622333333,7.013,2.875666667,5.68
CCT4,1.335333333,0,2.568,4.618666667,5.434333333,1.88,2.151666667
PDCD6,3.626333333,0,2.468,4.592666667,5.956,4.680666667,4.704
KRT18,0.485166667,1.064166667,1.879833333,4.566166667,3.7095,1.8685,2.085166667
GNAI3,1.926,0,3.375333333,4.547333333,6.504666667,0,0
RUVBL1,1.378666667,1.957666667,2.662666667,4.530333333,3.094,0,0
PRDX1,0,0,0,4.522,4.82,0,1.119333333
HIST1H2AC,4.038833333,3.781166667,5.014166667,4.457166667,6.185166667,4.049833333,3.754166667
UBAP2L,0,0,0,4.45,6.471,0,0
RPL11,0.588,3.913,1.658,4.447333333,3.516333333,1.914,1.756
ALDOA,2.006166667,2.698833333,1.6995,4.4245,5.6115,1.950833333,3.835166667
RPS17,1.189666667,0,0,4.38,3.184666667,0,0
PCBP2,1.533,2.352666667,3.237,4.372333333,6.968,2.898,2.804333333
TFRC,4.411,3.024333333,3.245,4.37,7.848666667,5.323333333,6.711666667
H2AFV,1.575666667,0,2.731333333,4.275,2.819333333,2.13,0
ADAR,4.436333333,3.819333333,2.52,4.274666667,6.045,3.022333333,4.943333333
WDR5,3.57,2.353,2.751666667,4.264666667,5.469666667,0,2.559666667
FEN1,0.654666667,1.994,1.964333333,4.264666667,2.246333333,0,1.707666667
EIF3B,0.901666667,0,1.936666667,4.263,4.829666667,0,0
SSBP1,4.374,0,2.541333333,4.240666667,6.703,2.883666667,0
RAP1B,1.596666667,0,0,4.223666667,6.405,2.588333333,0
STRAP,0,0,0,4.216666667,5.333666667,0,0
MCM6,0.986666667,0,0,4.156,2.433,0,0
EIF2S1,5.263,2.283333333,2.706,4.143666667,6.676333333,0,0
NUP160,3.646,0,2.976,4.131333333,6.613,2.535333333,2.980333333
PSMA7,0.661666667,0,2.789666667,4.116666667,0,0,0
TUBB,1.058833333,1.2145,2.2845,4.113833333,5.564166667,3.789833333,4.475833333
EIF5A,1.193333333,0,2.700666667,4.087666667,4.986333333,0,2.001333333
RPS20,0.7,0,0,4.087,4.951,0,0
RPL9,0.670333333,0,2.272,4.073333333,5.719333333,0,0
CFL1,0,1.861666667,0,4.05,0,0,0
NOP58,1.562333333,2.041,2.851333333,4.047,5.717666667,2.186666667,1.638666667
NUP93,1.067666667,2.001,5.189,4.044666667,6.280333333,2.658666667,0
RPL6,1.651,0,2.793666667,3.972666667,5.788666667,0,0
HNRNPL,1.296333333,0,2.232666667,3.965666667,2.341333333,0,0
BCAS2,0,0,0,3.962666667,4.862,0,0
WDR18,4.237666667,2.837,2.847333333,3.953333333,5.327666667,0,2.958
CCAR2,0,0,0,3.939,0,0,0
RPN2,2.125333333,1.971666667,3.009333333,3.910333333,3.465,3.084333333,5.541333333
PLRG1,1.181333333,0,0,3.880666667,4.411333333,0,0
RBM14,0.133333333,1.773333333,3.978666667,3.875666667,5.202333333,4.387,4.424
THRAP3,0.906,0,0,3.852333333,6.607666667,0,0
MYO1B,1.695,0,2.483333333,3.741,5.466,0,0
MTA2,0.811333333,0,0,3.721,2.163333333,1.915333333,0
SF3A2,0.564333333,2.271333333,2.245333333,3.704,4.749333333,1.927333333,2.354333333
HNRNPH1,1.040333333,2.222,2.814666667,3.695666667,2.399,0,0
PSMC5,0.586666667,3.076333333,2.258,3.681666667,3.983333333,1.666,3.644
EMG1,1.343333333,2.120666667,3.262,3.597333333,4.937666667,1.993333333,0
EIF3L,2.183666667,0,2.089,3.567333333,4.754333333,0,0
PRPF8,1.383333333,0,2.028,3.563666667,3.259,2.116666667,0
GAPDH,0.844666667,1.195666667,2.126666667,3.56,4.172,0.148333333,3.372333333
G3BP2,0.046333333,2.169333333,0,3.558333333,7.651666667,2.033666667,1.870666667
MAGOH,2.720666667,0,0,3.551666667,5.367,0,0
NUP153,0.149,0,0,3.546666667,4.231666667,1.617666667,0
KPNA2,1.023,0,2.319,3.538,5.878333333,4.597,2.472333333
PUF60,0.841666667,0,0,3.509666667,4.942,0,2.556
YWHAB,0.431666667,0,1.903,3.501666667,0,0,0
EIF3C,1.436,0,2.107333333,3.5,2.371333333,0,0
IDH3A,1.321,0,2.441,3.494666667,5.384666667,2.554333333,2.31
PHB2,2.668,4.122,4.133666667,3.490333333,5.545,2.722,3.429
DDX56,3.285,3.856666667,4.714666667,3.473333333,5.397333333,0,2.439666667
NSUN5,1.189666667,0,2.586666667,3.401333333,2.591666667,0,0
PPP1CA,0,0,0,3.382333333,5.151666667,0.665666667,0
EBNA1BP2,1.761666667,0,0,3.38,2.046666667,0,0
PSMD2,1.714833333,0,0.839166667,3.3455,2.833833333,0,0
ANXA2,1.021666667,3.200666667,2.888666667,3.315333333,1.532666667,2.086333333,2.571333333
CCAR1,0.673666667,0,0,3.274333333,2.759666667,0,0
VIM,2.1265,2.1965,2.9115,3.259833333,2.7695,3.231833333,3.2915
POLR2H,0.491666667,1.456,1.940666667,3.252666667,4.030333333,1.536333333,1.843333333
NUP205,1.401333333,0,2.583666667,3.234,5.737666667,1.874,0
PSMC1,0,0,0.9985,3.233833333,1.1215,0.900833333,1.091166667
LMNB2,4.709333333,3.679,2.301666667,3.222,5.317,2.027,1.873
HSPA6,2.844,3.676666667,1.261666667,3.212333333,4.573666667,1.008333333,3.338333333
RPL37A,1.674333333,0,0,3.201666667,2.342666667,0,2.027333333
LDHB,1.068666667,0,2.392,3.192,4.894,0,0
DAZAP1,0.649666667,0,2.311,3.188,4.831,2.175,2.381333333
HSPA5,0.1615,0,1.414166667,3.183166667,6.0565,0,2.6915
GATAD2B,0,2.042,4.076333333,3.182333333,4.6,2.713,1.740333333
RPL15,0.976666667,0,2.597,3.178,3.539333333,0,2.54
NLE1,0.648333333,0,0,3.173,0,0,0
XRN2,0.779666667,1.834666667,0,3.140666667,0,0,0
GNL2,1.278666667,0,2.489666667,3.140333333,2.615,0,0
GPI,0.975666667,0,0,3.129333333,0,0,0
RPS5,0,0,0.907166667,3.116833333,4.2455,0,0
MSH2,0.820666667,0,0,3.064666667,0,0,0
NOL6,0.878666667,0,1.989333333,3.025333333,2.280333333,0,1.887
EIF2A,0,0,0,3.007333333,4.550333333,0,0
NUP98,1.081,0,0,2.996,2.748,0,1.833
PGK1,1.474,2.562,2.462666667,2.978333333,3.760666667,1.872666667,2.449666667
CDC5L,0,0,0,2.964333333,0,0,0
SEPT7,1.013666667,1.947,0,2.951333333,5.394666667,1.896,1.902
HIST1H2BK,0.587333333,3.435333333,0,2.946333333,2.909,0,2.301
PGAM5,0.773666667,0,0,2.919,2.161333333,0,0
OGT,0.478666667,0,0,2.823666667,0,1.914,1.764666667
RAE1,1.428333333,0,0,2.820333333,5.370666667,0,0
PES1,1.413666667,0,1.672666667,2.812666667,4.464666667,0,0
PPAN-P2RY11,1.748,0,1.886,2.8,5.594,0,0
TPT1,0.244333333,0.87,1.223,2.75,4.985666667,0.929666667,3.262333333
HP1BP3,0,0,0,2.697666667,0,0,0
CCT5,0.784,0,2.453333333,2.598,0,0,0
NUP107,0.911,0,0,2.595666667,4.454666667,1.565,3.326
IMPDH2,0.803333333,0,0,2.568666667,2.772333333,0,0
PKM,0.723166667,0,1.9035,2.5395,1.7965,0,0.387166667
AHCY,0.966333333,0,0,2.528,0,0,0
HCFC1,0,0,0,2.509,0,0,0
CCT3,0.773666667,0,2.015333333,2.507333333,1.963333333,0,0
ENO1,0.985666667,1.265,2.383,2.504,2.038,1.221,0
HSPA4,0.304333333,0,2.346333333,2.449,0,0,0
FUBP3,0.307666667,0,1.821,2.388333333,5.163,0,1.862333333
HIST1H2AJ,0.540166667,3.0965,1.908833333,2.369166667,1.3745,0,0.959166667
DLD,1.601,0,2.517666667,2.33,5.933333333,2.459666667,1.955333333
IQGAP1,0.798333333,0,0,2.329333333,2.572333333,0,0
FASN,0.439,0,0,2.329,1.22,0,0
RPS10,1.457666667,0,0,2.321333333,3.411,0,0
GLUD1,1.878666667,0,3.097,2.305,7.108333333,3.378,5.523
PSMC6,0,0,0,2.301666667,0,0,0
OGDH,1.985333333,0,3.109333333,2.299333333,7.126666667,1.786333333,2.607333333
NQO1,0.606333333,0,0,2.296333333,0,0,0
PSMB2,1.063666667,0,0,2.287,2.832666667,0,0
CLIC1,1.086,0,2.221666667,2.282666667,0,0,0
CHRAC1,1.506333333,0,3.427666667,2.225666667,6.852333333,0,0
MATR3,1.097666667,2.631,0,2.186,3.063666667,1.992,0
IPO5,0.080666667,0,2.249333333,2.154666667,1.959666667,0,0
TUBB8,0,0,0,2.137333333,0,0,0
