NAME,Ku.FC.nonIR5,Ku.FC.IR5,Ku.FC.IR30,Ku.FC.IR2,Ku.FC.IR8,Ku.FC.IR24,Ku.FC.nonIR24
DDX27,1.423333333,0,0,0.735333333,2.442666667,0,2.124666667
MYOF,1.598333333,0,0,0.734,2.741666667,0,0
HIST2H2BE,0.345166667,0.866833333,1.4735,0.6915,2.6635,0.606833333,1.0795
CPSF1,0.422666667,0,0,0.681666667,4.389333333,0,1.88
RPS15,0.043833333,0.9555,1.5885,0.672833333,5.333166667,0,0
HIST1H1C,2.558333333,3.755,3.915666667,0.659666667,0,1.751666667,0
RPS6,0.531166667,0,0,0.658833333,5.216166667,0,0
WDR82,0.299,0,0,0.654,2.138666667,0,0
KRT17,0,4.536166667,7.180833333,0.617166667,4.551833333,4.0025,6.019833333
POLRMT,0.884333333,0,0,0.549333333,2.474666667,0,0
PDIA3,0,0,0,0.5415,4.0765,0,0
RPS2,0.006333333,0,0,0.456,2.717,0,0
ARF1,0,0,0,0.433166667,3.671166667,0.8895,0
LRWD1,0.259,0,1.945666667,0.427666667,4.042333333,0,0
PELO,0,0,0,0.425666667,1.864,0,0
RPS9,0.491,0,1.388666667,0.412333333,5.388,0.792333333,0.980666667
HNRNPAB,0.217333333,1.705666667,1.789,0.360666667,2.033,0,1.82
RPS27A,0,0.937666667,1.124,0.228666667,1.916,0.190666667,0.900333333
NPM3,2.228,5.648,3.316,0.076333333,2.256,1.770333333,1.108333333
MDC1,0.796333333,0,0,0,1.917,0,2.192333333
EEF1A1,0,0.883666667,0.743333333,0,2.302666667,0.603666667,1.037
CLPX,0,0.393333333,0.251333333,0,2.799,0,0.224666667
RBFOX2,0.432,1.863333333,0,0,0,4.094666667,0
RPL35,1.719333333,0,2.352,0,2.578666667,2.224666667,0
PSMD4,0,0,2.349666667,0,0,2.201666667,0
GLS,0,0,1.6565,0,1.670166667,1.482833333,0
C1QBP,1.822666667,2.161666667,2.598,0,5.877,0,0
IGF2BP3,0,0,0,0,5.830666667,0,0
SAP18,0.393666667,0,0,0,3.726333333,0,0
NDUFA13,0.884333333,0,0,0,3.155,0,0
FASTKD2,0.977333333,0,0,0,3.142333333,0,0
EMD,0,1.943333333,0,0,2.931,0,0
CDC42,0.932666667,0,0,0,2.929666667,0,0
EIF3A,0.994666667,0,0,0,2.884,0,0
HTATIP2,0.820666667,0,0,0,2.851333333,0,0
MRPL10,0.531,0,0,0,2.796333333,0,0
TMPO,2.764,2.508,0,0,2.770333333,0,0
MRPL2,0.660666667,0,2.689,0,2.722333333,0,0
FTSJ3,1.055666667,0,0,0,2.715,0,0
TTN,0.681666667,0,0,0,2.697333333,0,0
RPL13A,0.479166667,0,0,0,2.669833333,0,0
NXF1,0,0,0,0,2.659333333,0,0
CTNNB1,0,0,0,0,2.613,0,0
ASPH,1.473333333,0,0,0,2.611333333,0,0
CAVIN1,0,0,0,0,2.587333333,0,0
EIF4H,0,0,0,0,2.564333333,0,0
RHOG,0,0,0,0,2.558,0,0
RFC3,0.622666667,0,0,0,2.526,0,0
THOC6,0,0,0,0,2.387666667,0,0
UPF1,0,0,0,0,2.370333333,0,0
GOLGA2,0.711666667,0,0,0,2.356,0,0
TOR1AIP1,0.559666667,0,0,0,2.322666667,0,0
NUP210,0,0,0,0,2.304333333,0,0
RFC5,0,0,0,0,2.288,0,0
HEATR1,1.292666667,0,0,0,2.246,0,0
LEO1,0,0,0,0,2.207333333,0,0
SPTBN2,0,0,0,0,2.198666667,0,0
ACTR2,0,0,0,0,2.109666667,0,0
U2SURP,0.331333333,0,0,0,2.028666667,0,0
NIP7,0,0,0,0,1.915666667,0,0
ATRX,0,0,0,0,1.871333333,0,0
UTP15,0,0,0,0,1.687333333,0,0
KIF2B,0,0,0,0,1.686333333,0,0
LMO7,0,0,0,0,1.683333333,0,0
CEP152,0,0,2.268666667,0,0,0,0
RPS27,1.941333333,0,0,0,0,0,0
SNRPE,1.724,0,0,0,0,0,0
SLIRP,1.680666667,0,0,0,0,0,0
SNRPF,1.580333333,0,0,0,0,0,0
