NAME,S6.FC.nonIR5,S6.FC.IR5,S6.FC.IR30,S6.FC.IR2,S6.FC.IR8,S6.FC.IR24,S6.FC.nonIR24
TUBA1B,0.983,0,1.944666667,0.379,0.773333333,2.921,5.374666667
MACROH2A1,2.206666667,0,2.152333333,0.358666667,2.616333333,1.182,1.056666667
SET,2.036666667,0,4.896333333,0.338333333,0,2.121333333,2.312
HIST1H2BK,3.982666667,4.027333333,2.902333333,0.301666667,3.657333333,3.635666667,3.470333333
HIST1H4F,3.099,2.176833333,3.261833333,0.2715,2.781166667,2.190833333,2.234833333
SF3B2,0.964333333,1.050333333,1.183333333,0.231,1.907333333,2.088666667,2.255666667
CCAR1,1.205666667,0.925666667,1.258666667,0.229666667,3.658,0,1.143333333
GAPDH,2.685083333,2.276,0,0.172,3.750333333,2.745666667,3.533666667
NIFK,0,0,0,0.157,1.943666667,0,0
DDX39B,3.6075,2.600666667,2.584666667,0.152666667,3.274666667,2.427666667,2.283
NME1,0,0,0,0.129833333,3.399166667,0.908833333,0
ATRX,0,0,0,0.09,0,0,0
RPS4X,1.2025,0.734,0.600666667,0.064666667,2.352666667,0.431,0.355666667
FEN1,2.634,1.100333333,2.496,0.037666667,2.680666667,1.084666667,2.132
WDR75,4.851,0,0,0,0,0,0
H2BC10,4.783916667,1.279833333,2.528833333,0,1.9615,1.8225,2.463833333
IMPDH2,4.722666667,2.598666667,5.175,0,0,2.392333333,0
SNRPD3,3.758166667,2.045666667,2.301666667,0,2.602666667,1.727666667,1.886333333
HIST2H2AC,3.395583333,0.967333333,1.991,0,1.79,1.299,1.873666667
CLIC1,3.335333333,2.947333333,4.235666667,0,0,0,4.897333333
RPL23A,3.256,0,0,0,0,1.762333333,0
ACACA,3.141666667,0,0,0,0,0,0
CPS1,3.062333333,2.226666667,2.182,0,2.585333333,1.849333333,2.353
PPIA,3.035,3.376666667,1.804666667,0,3.223666667,4.215666667,4.890666667
HIST1H2AC,2.962583333,0.6585,1.518833333,0,1.2735,0.945166667,1.573833333
HIST1H2AJ,2.93525,3.4905,3.273833333,0,3.495833333,3.426166667,2.306833333
HIST1H2BO,2.853,3.044,2.759666667,0,2.658,2.822333333,2.4
TUBA1C,2.812333333,2.902,2.019333333,0,2.991666667,1.750333333,2.234666667
S100A7,2.71225,0,1.0805,0,1.7115,0.7785,1.571833333
SMC3,2.607,2.158,0,0,0,0,0
RRP9,2.557333333,4.471,2.367666667,0,1.791666667,0,2.282
SON,2.555,0,0,0,0,0,0
PPP1CC,2.45,0,0,0,2.233666667,0,0
H1-5,2.385833333,2.821666667,2.542,0,-2.829666667,0.565666667,3.412666667
HIST3H2BB,2.342,2.416333333,2.014666667,0,2.131333333,0,0
H2AX,2.337,2.168666667,0,0,0,0,0
PPP1CB,2.299666667,0,0,0,1.933333333,0,0
CS,2.279833333,2.33,2.479666667,0,0.5,2.489333333,0.493
TRIM28,2.254333333,1.153,0.947,0,1.216666667,2.284666667,0.993
ACIN1,2.225333333,0,0,0,0,0,0
MDC1,2.176666667,0,0,0,0,0.867333333,0
XRCC1,2.147666667,2.191333333,1.901666667,0,0,2.007,0
RRS1,2.077666667,0,0,0,0,0,0
PSMA5,1.956333333,2.058,0,0,1.851,0,0
EWSR1,1.900666667,0,2.371666667,0,2.611333333,0,0
HTATSF1,1.899666667,1.77,0,0,1.886666667,2.131,0
RBM15,1.826,1.914666667,0,0,0,1.655,0
ARID2,1.812,1.916666667,2.118666667,0,2.112333333,0,0
SART1,1.631,1.632666667,1.637,0,2.279666667,1.513,0
MAPT,1.6,0,0,0,0.0565,0,0
HIST2H3D,1.416166667,0.934833333,0.862166667,0,1.5905,0.605166667,0.783166667
NSA2,1.408333333,2.097,0,0,1.983333333,0,0
BCLAF1,1.348,1.511333333,1.184333333,0,2.594333333,0.799,0.941333333
PSMA1,1.197333333,0,3.286,0,1.308666667,0,0
SSBP1,1.074,1.409333333,1.126333333,0,2.227333333,1.001,0
RPF2,0.860333333,0.878333333,0.884,0,1.901666667,0,0
SPTBN2,0.818666667,0,0.896666667,0,2.394,0,0.912666667
KARS,0.789666667,1.158333333,0,0,0,0,0
GLS,0.743416667,1.335166667,0,0,4.249166667,4.106833333,1.2175
SERBP1,0.27625,0.476833333,0.708833333,0,0.8595,0,0
HIST1H2BH,0.171583333,1.9725,1.749166667,0,1.632833333,1.710166667,1.016166667
ERH,0,0,0,0,2.355333333,0,5.873
DSP,0,0,0,0,-0.784666667,1.093666667,4.379333333
ALDOA,0,1.1165,0,0,6.390833333,1.2965,3.656833333
RBMX,0,0,0,0,0,0,2.69
MED1,0,0,0,0,0,0,2.666333333
PSMB2,0,0,0,0,0,2.074666667,2.501
TUBB8,0,0,0,0,0,0,2.365666667
TTN,0,0,0,0,0,0,2.364333333
PKP1,0,0.063833333,0.909166667,0,0.342833333,0.491166667,2.355166667
SERPINB3,0,0,0,0,-1.624833333,0,2.244833333
CFL1,0,0,0,0,2.945333333,0,2.172333333
CCDC88C,0,0,0,0,0,0,2.024
CALML5,0,0,0,0,-0.937666667,0,1.990333333
RPL22,0,0.4525,0.509166667,0,2.2055,3.1935,1.900833333
FABP5,0,0,0,0,-0.7425,0,1.779833333
RPS3A,0,0.5795,0.662166667,0,2.615833333,0.3785,1.026833333
HSP90B1,0,1.092833333,0,0,4.714833333,0,0.552166667
SNRPE,0,0,0,0,2.946,3.658,0
CHRAC1,0,0,0,0,2.615,1.997,0
PELP1,0,0,0,0,0,1.879333333,0
PNKP,0,1.931,1.817333333,0,0,1.764333333,0
FUBP1,0,0,0,0,2.518,1.453333333,0
HSPA1B,0,0,0,0,2.4335,1.392833333,0
RPS10,0,0,0,0,3.075666667,0,0
SLIRP,0,0,0,0,3.001666667,0,0
TEX10,0,0,0,0,2.912333333,0,0
LSG1,0,0,0,0,2.779,0,0
UBAP2L,0,0,0,0,2.734333333,0,0
MRPS27,0,0,0,0,2.732666667,0,0
IGF2BP3,0,0,0,0,2.727333333,0,0
NHP2L1,0,0,2.040333333,0,2.666333333,0,0
HIGD1A,0,0,0,0,2.254,0,0
MRPL19,0,0,0,0,2.216,0,0
PLRG1,0,0,0,0,2.184333333,0,0
PRDX3,0,0,0,0,2.182333333,0,0
PRKAR2A,0,0,0,0,2.157666667,0,0
PSMC2,0,0,0,0,2.147,0,0
ZNF280C,0,0,0,0,2.129333333,0,0
MRPL46,0,2.161333333,0,0,2.124,0,0
PTGES2,0,0,0,0,2.067,0,0
YTHDF2,0,0,0,0,2.046666667,0,0
LTF,0,0,0,0,2.017166667,0,0
KHSRP,0,0,0.867333333,0,1.921,0,0
NUP62,0,0,0,0,1.906333333,0,0
HTATIP2,0,0,0,0,1.872333333,0,0
MPG,0,1.943,0,0,1.859333333,0,0
GNL3L,0,0,0,0,1.782,0,0
BANF1,0,1.801833333,1.6815,0,1.7015,0,0
PAF1,0,0,1.499666667,0,1.586666667,0,0
TPI1,0,1.137,0,0,1.578,0,0
PDIA3,0,0,0,0,1.411833333,0,0
ZC3H14,0,0,0,0,1.148666667,0,0
RPS2,0,0,0,0,0.759833333,0,0
YWHAB,0,0,2.288666667,0,0,0,0
CELF1,0,1.979333333,1.973666667,0,0,0,0
SNW1,0,0,1.927666667,0,0,0,0
RPF1,0,1.845666667,1.679333333,0,0,0,0
ACLY,0,2.578333333,1.548,0,0,0,0
CSNK2B,0,2.447,0,0,0,0,0
CEBPZ,0,2.089666667,0,0,0,0,0
MACROD1,0,1.978333333,0,0,0,0,0
