NAME,Mre.FC.nonIR5,Mre.FC.IR5,Mre.FC.IR30,Mre.FC.IR2,Mre.FC.IR8,Mre.FC.IR24,Mre.FC.nonIR24
GPD2,42.61033333,48.234,39.02233333,0,19.47833333,0,0
NUP155,67.08466667,32.55033333,38.92666667,39.399,56.83466667,0,0
EBNA1BP2,31.87433333,45.176,38.86133333,0,57.324,63.279,69.01233333
SF3A1,0,0,38.763,0,50.613,57.61033333,63.02533333
RANBP2,37.929,0,38.69766667,0,44.54033333,56.22266667,45.00266667
DDX56,0,0,38.67566667,0,63.17433333,57.43166667,0
AATF,0,0,38.63466667,34.764,37.121,0,0
C1QBP,44.549,25.51966667,38.59,0,50.5,26.00666667,0
PICALM,0,0,38.56766667,21.79266667,0,0,0
IFI16,0,0,38.496,33.135,49.28533333,0,0
RPL18A,0,0,38.48266667,0,57.518,25.40166667,0
HADHB,0,0,38.45933333,0,61.63266667,32.213,0
RPS3A,0,0,38.43033333,0,32.49,0,0
DECR1,0,31.58766667,38.403,0,51.77966667,31.93966667,0
MTCH2,0,0,38.32733333,0,58.22633333,0,0
CAPRIN1,0,0,38.13933333,20.619,38.47066667,0,0
RPL6,0,0,38.06266667,0,62.95,0,0
DDX54,0,0,37.95466667,0,45.01,0,51.08366667
RPL7,48.3875,42.01216667,37.92116667,0,38.9265,36.75316667,0
RPL21,0,0,37.875,0,57.41,0,0
EIF4A1,0,0,37.86133333,0,26.03733333,0,0
FGF2,0,0,37.712,45.507,0,0,0
MCM3AP,0,0,37.47233333,14.523,32.251,0,0
HSP90AB1,0,0,37.43066667,0,50.616,32.442,55.92166667
NSUN5,0,0,37.124,0,20.34733333,37.459,44.53933333
DDX18,0,0,36.98233333,0,43.743,26.07,0
WDR12,0,0,36.83666667,0,0,0,0
LRPPRC,62.77833333,0,36.79433333,0,69.572,67.63216667,51.16533333
EIF6,44.66616667,49.85916667,33.78783333,0,45.54983333,56.92666667,56.1785
DAZAP1,0,0,33.527,0,39.162,51.11016667,57.177
CORO1C,0,0,33.176,0,62.51666667,43.49133333,0
RPL15,0,0,32.84683333,0,0,0,0
NUP98,0,0,32.69466667,0,37.464,32.726,0
RPS6,0,0,32.66566667,0,57.58633333,0,0
XRCC5,0,0,32.658,27.77133333,31.81066667,32.895,0
CCT8,50.57333333,31.04766667,32.64933333,0,50.72133333,56.54166667,68.24466667
RPF2,0,36.38333333,32.573,0,62.21066667,0,0
RAE1,0,0,32.36233333,0,33.40133333,0,0
NUP160,0,0,32.359,0,56.97766667,68.584,62.012
DHX15,0,0,32.31566667,0,51.69166667,57.79066667,0
LMNB2,31.37633333,0,32.294,0,57.946,57.98733333,56.77966667
CPSF7,0,0,32.24233333,0,45.45033333,68.329,62.331
PSMD4,0,0,32.186,31.894,0,0,0
RBM4,0,0,32.14,13.88566667,0,0,0
NFIA,0,0,32.136,0,32.12333333,0,0
PNN,0,0,32.129,0,50.27566667,32.34433333,0
MATR3,0,0,32.02666667,0,62.52333333,62.645,68.221
PPAN,0,0,32.00933333,0,50.87533333,43.29066667,50.73766667
EMD,0,31.71933333,31.824,0,46.09966667,32.199,0
SEPT9,0,0,31.74333333,0,39.22233333,0,0
PDIA3,0,0,31.715,0,51.155,0,0
RPS9,0,0,31.60166667,0,26.01566667,0,0
CTNNB1,0,0,31.40366667,0,38.337,31.207,0
DDX39A,0,0,31.11566667,0,37.773,0,0
NBN,0,0,31.09733333,27.62566667,0,0,0
PPIA,0,0,30.92366667,0,0,0,0
TMPO,0,0,27.22233333,0,43.88066667,43.06766667,56.647
DLD,0,0,27.028,0,44.44833333,0,0
GNL2,0,0,26.98766667,0,32.017,0,0
EEF2,37.90333333,31.864,26.95366667,0,45.45966667,45.01333333,0
HSPA1B,37.82033333,44.01133333,26.92566667,27.74766667,45.20033333,0,62.68733333
